epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,115.312,1.57598,2.13798,1.73145,0.56536,0.31985,0.33487,0.23628,1.56004,7.01087,1.80112,0.000554477,0.000554477,0.000554477
2,227.416,1.57562,1.98092,1.71694,0.61063,0.3563,0.37903,0.27344,1.44048,2.30093,1.69176,0.00108816,0.00108816,0.00108816
3,337.811,1.48669,1.87338,1.66046,0.59289,0.37221,0.38603,0.27903,1.53282,2.10333,1.75807,0.00159984,0.00159984,0.00159984
4,448.608,1.44055,1.77205,1.61043,0.68363,0.41419,0.49115,0.35443,1.34292,1.68923,1.56743,0.00156798,0.00156798,0.00156798
5,559.22,1.3969,1.70688,1.58182,0.77948,0.43245,0.52264,0.3849,1.28542,1.69052,1.54888,0.00153497,0.00153497,0.00153497
6,668.481,1.34006,1.61241,1.54105,0.70507,0.4684,0.56527,0.42079,1.20155,1.52863,1.4851,0.00150197,0.00150197,0.00150197
7,777.809,1.296,1.53072,1.51227,0.77129,0.49871,0.60248,0.43322,1.21431,1.40232,1.51613,0.00146896,0.00146896,0.00146896
8,887.13,1.28787,1.54638,1.50995,0.72016,0.45245,0.53754,0.40351,1.20641,1.56952,1.4662,0.00143595,0.00143595,0.00143595
9,995.808,1.26787,1.49295,1.49262,0.78552,0.50373,0.62381,0.47313,1.12552,1.26532,1.41649,0.00140295,0.00140295,0.00140295
10,1104.83,1.24341,1.46526,1.47351,0.80081,0.47776,0.59184,0.44971,1.13015,1.33132,1.42429,0.00136994,0.00136994,0.00136994
11,1213.52,1.22787,1.41793,1.46088,0.73109,0.46796,0.5656,0.435,1.11032,1.39684,1.41391,0.00133693,0.00133693,0.00133693
12,1322.69,1.19997,1.37294,1.44645,0.75877,0.50369,0.60433,0.46496,1.08868,1.3319,1.39979,0.00130393,0.00130393,0.00130393
13,1433.3,1.19421,1.37404,1.44366,0.77608,0.51592,0.63318,0.48264,1.08015,1.25205,1.42529,0.00127092,0.00127092,0.00127092
14,1544.44,1.18237,1.36192,1.44947,0.79637,0.50324,0.63197,0.4768,1.05778,1.27897,1.38295,0.00123791,0.00123791,0.00123791
15,1654.52,1.15759,1.32023,1.42598,0.80085,0.51953,0.64229,0.48698,1.0607,1.26514,1.37846,0.00120491,0.00120491,0.00120491
16,1765.54,1.1464,1.3053,1.41363,0.78692,0.52567,0.65168,0.49797,1.03641,1.2033,1.35937,0.0011719,0.0011719,0.0011719
17,1879.23,1.14664,1.29803,1.41711,0.74986,0.53631,0.64361,0.49012,1.05135,1.2023,1.38973,0.00113889,0.00113889,0.00113889
18,1991.73,1.14702,1.28615,1.40778,0.76184,0.55645,0.66041,0.49381,1.08124,1.21215,1.38497,0.00110589,0.00110589,0.00110589
19,2104.54,1.13516,1.27672,1.40199,0.77865,0.53468,0.65004,0.49469,1.05371,1.24958,1.35253,0.00107288,0.00107288,0.00107288
