epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,48.6584,1.58693,2.39522,1.65294,0.63147,0.40191,0.45204,0.30753,1.44209,2.11538,1.54485,0.000554079,0.000554079,0.000554079
2,93.5681,1.50803,1.90478,1.59325,0.61352,0.39134,0.43154,0.29689,1.51828,2.0026,1.57055,0.00108777,0.00108777,0.00108777
3,137.887,1.47715,1.79392,1.57621,0.46604,0.30276,0.24251,0.15245,1.58728,2.85271,1.66395,0.00159946,0.00159946,0.00159946
4,181.464,1.44433,1.71247,1.54975,0.69809,0.45268,0.54767,0.38135,1.31677,1.63852,1.49396,0.00156798,0.00156798,0.00156798
5,225.114,1.38488,1.6348,1.51341,0.73514,0.42447,0.51762,0.36784,1.29128,1.66919,1.44797,0.00153497,0.00153497,0.00153497
6,268.844,1.34222,1.5667,1.49057,0.79843,0.45591,0.59229,0.43062,1.19323,1.40688,1.39399,0.00150197,0.00150197,0.00150197
7,312.856,1.31966,1.51848,1.46911,0.78141,0.48257,0.60622,0.42769,1.25213,1.42346,1.4172,0.00146896,0.00146896,0.00146896
8,356.294,1.29936,1.48889,1.45914,0.74928,0.48672,0.60582,0.4491,1.1521,1.31592,1.35564,0.00143595,0.00143595,0.00143595
9,399.728,1.28233,1.45535,1.44237,0.77799,0.4782,0.61817,0.44543,1.1937,1.33848,1.40393,0.00140295,0.00140295,0.00140295
10,443.232,1.26448,1.43314,1.43495,0.76866,0.49831,0.61527,0.44627,1.16592,1.33603,1.38694,0.00136994,0.00136994,0.00136994
11,486.86,1.24378,1.41164,1.42537,0.74449,0.47735,0.58824,0.45348,1.10237,1.36078,1.33435,0.00133693,0.00133693,0.00133693
12,530.692,1.23216,1.37977,1.41613,0.77502,0.55743,0.67288,0.48614,1.12586,1.18747,1.34104,0.00130393,0.00130393,0.00130393
13,574.333,1.21937,1.35245,1.40399,0.77569,0.50143,0.63868,0.4716,1.13031,1.25378,1.34154,0.00127092,0.00127092,0.00127092
14,617.874,1.2077,1.35224,1.40026,0.76742,0.51908,0.65918,0.48857,1.08592,1.20107,1.30539,0.00123791,0.00123791,0.00123791
15,661.558,1.1838,1.31328,1.38228,0.78298,0.54972,0.67486,0.50313,1.07057,1.16324,1.31236,0.00120491,0.00120491,0.00120491
16,705.412,1.18579,1.3121,1.38202,0.72812,0.53843,0.64901,0.48184,1.06998,1.1704,1.29449,0.0011719,0.0011719,0.0011719
17,748.977,1.16355,1.27786,1.3636,0.76767,0.56745,0.68026,0.50433,1.06367,1.12542,1.30746,0.00113889,0.00113889,0.00113889
18,792.522,1.16144,1.26019,1.35518,0.80723,0.53831,0.67021,0.50366,1.0579,1.13627,1.26524,0.00110589,0.00110589,0.00110589
19,836.205,1.16288,1.25704,1.36141,0.80051,0.55436,0.68351,0.51097,1.06145,1.13364,1.3116,0.00107288,0.00107288,0.00107288
20,879.909,1.15105,1.23866,1.3545,0.77892,0.5686,0.6915,0.51471,1.0444,1.12915,1.29181,0.00103987,0.00103987,0.00103987
21,923.551,1.14306,1.21443,1.34501,0.79874,0.56991,0.69903,0.52041,1.02983,1.07866,1.25519,0.00100687,0.00100687,0.00100687
22,967.186,1.13591,1.21257,1.34318,0.7645,0.586,0.69781,0.52068,1.0314,1.10852,1.27527,0.000973861,0.000973861,0.000973861
23,1010.79,1.12221,1.18477,1.32648,0.77743,0.60947,0.72018,0.5328,1.02855,1.04027,1.26442,0.000940855,0.000940855,0.000940855
24,1054.83,1.12241,1.19661,1.33986,0.80324,0.56545,0.69268,0.51967,1.00558,1.08376,1.26519,0.000907848,0.000907848,0.000907848
25,1098.59,1.13013,1.18035,1.33358,0.80186,0.599,0.71512,0.53374,1.01016,1.04571,1.25538,0.000874842,0.000874842,0.000874842
26,1142.01,1.10602,1.15261,1.31923,0.79217,0.60816,0.7243,0.54305,1.01803,1.00337,1.25945,0.000841835,0.000841835,0.000841835
27,1185.69,1.09772,1.13154,1.31329,0.78151,0.59226,0.70569,0.5236,1.02481,1.03991,1.24744,0.000808828,0.000808828,0.000808828
28,1229.19,1.10643,1.15232,1.32089,0.77722,0.63424,0.73271,0.54813,0.98607,1.00796,1.23358,0.000775822,0.000775822,0.000775822
29,1272.54,1.09905,1.12906,1.31172,0.80335,0.62652,0.7407,0.55265,0.98153,0.97893,1.23368,0.000742815,0.000742815,0.000742815
30,1315.79,1.08568,1.11435,1.30515,0.79656,0.63295,0.74016,0.55331,0.9924,1.00633,1.24895,0.000709809,0.000709809,0.000709809
31,1358.91,1.0783,1.09704,1.30032,0.78875,0.63903,0.74823,0.55412,1.00266,0.97208,1.24353,0.000676802,0.000676802,0.000676802
32,1402.77,1.06403,1.07846,1.29073,0.79649,0.63187,0.74512,0.55351,0.99803,0.97926,1.23489,0.000643795,0.000643795,0.000643795
33,1446.78,1.05836,1.0627,1.28729,0.79509,0.62588,0.74223,0.54949,0.98938,0.98346,1.23421,0.000610789,0.000610789,0.000610789
34,1489.25,1.04931,1.05808,1.28347,0.79412,0.63819,0.75033,0.55919,0.9788,0.97093,1.23356,0.000577782,0.000577782,0.000577782
35,1533.52,1.06865,1.04948,1.28598,0.78047,0.66731,0.76712,0.57248,0.96825,0.93437,1.22808,0.000544776,0.000544776,0.000544776
36,1577.36,1.05196,1.03033,1.27738,0.82248,0.65164,0.76694,0.57114,0.96717,0.92717,1.22693,0.000511769,0.000511769,0.000511769
37,1639.15,1.04675,1.01973,1.26993,0.81758,0.64943,0.76388,0.56779,0.97918,0.9302,1.22441,0.000478762,0.000478762,0.000478762
38,1703.21,1.04317,1.01588,1.26769,0.78125,0.66943,0.76769,0.57614,0.95985,0.90877,1.21426,0.000445756,0.000445756,0.000445756
39,1767.52,1.03493,1.00139,1.26184,0.80202,0.67117,0.77469,0.57786,0.97149,0.89674,1.22205,0.000412749,0.000412749,0.000412749
40,1831.57,1.01934,0.98647,1.258,0.81722,0.67175,0.77774,0.58059,0.96716,0.88707,1.21255,0.000379743,0.000379743,0.000379743
41,1914.28,1.00353,0.8936,1.25622,0.80376,0.68509,0.78283,0.58213,0.96879,0.8866,1.22859,0.000346736,0.000346736,0.000346736
42,1980.69,0.98279,0.86541,1.24513,0.81337,0.67612,0.78518,0.59498,0.93925,0.86437,1.20186,0.000313729,0.000313729,0.000313729
43,2047.92,0.97836,0.83475,1.238,0.81453,0.69927,0.79011,0.5947,0.94908,0.8708,1.20861,0.000280723,0.000280723,0.000280723
44,2114.68,0.97043,0.81911,1.23293,0.82502,0.69137,0.79586,0.60185,0.95192,0.8452,1.20931,0.000247716,0.000247716,0.000247716
45,2182.7,0.95631,0.80561,1.21684,0.82155,0.70297,0.79778,0.60453,0.93075,0.83913,1.20188,0.00021471,0.00021471,0.00021471
46,2250.91,0.95485,0.79058,1.2183,0.8091,0.71724,0.80124,0.60544,0.93048,0.83132,1.19991,0.000181703,0.000181703,0.000181703
47,2318.43,0.93542,0.76337,1.20407,0.83959,0.69376,0.80205,0.60776,0.93291,0.82237,1.204,0.000148696,0.000148696,0.000148696
48,2382.58,0.93248,0.75999,1.2029,0.82784,0.71517,0.81361,0.61289,0.92794,0.80595,1.19736,0.00011569,0.00011569,0.00011569
49,2446.09,0.92105,0.74281,1.19686,0.83889,0.70945,0.80827,0.61308,0.93074,0.80754,1.20055,8.26832e-05,8.26832e-05,8.26832e-05
50,2509.12,0.9132,0.72766,1.19203,0.82438,0.72433,0.81276,0.61345,0.92621,0.80382,1.19952,4.96766e-05,4.96766e-05,4.96766e-05
