epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,62.4826,1.5149,2.32554,1.70151,0.52414,0.3059,0.32078,0.20303,1.70254,3.79265,1.88151,0.000554079,0.000554079,0.000554079
2,122.353,1.50117,1.85689,1.66518,0.7055,0.3975,0.46432,0.32764,1.46411,2.49147,1.75152,0.00108777,0.00108777,0.00108777
3,180.203,1.45944,1.78477,1.63773,0.69006,0.41802,0.4721,0.34913,1.40688,1.77418,1.60931,0.00159946,0.00159946,0.00159946
4,237.371,1.41314,1.68723,1.59285,0.62635,0.42703,0.46174,0.34261,1.29734,1.75766,1.54219,0.00156798,0.00156798,0.00156798
5,294.783,1.34756,1.59574,1.54389,0.67411,0.46146,0.52075,0.3963,1.22752,1.52077,1.45584,0.00153497,0.00153497,0.00153497
6,352.174,1.31231,1.53792,1.51655,0.69416,0.4764,0.54537,0.39801,1.21057,1.45633,1.46464,0.00150197,0.00150197,0.00150197
7,411.543,1.28821,1.49005,1.49482,0.80027,0.47274,0.59186,0.43452,1.16024,1.41361,1.42285,0.00146896,0.00146896,0.00146896
8,471.016,1.2651,1.46848,1.48909,0.72795,0.51274,0.60866,0.46057,1.11915,1.28602,1.39857,0.00143595,0.00143595,0.00143595
9,530.547,1.2518,1.42558,1.46847,0.78653,0.4606,0.59257,0.42706,1.16375,1.36465,1.40981,0.00140295,0.00140295,0.00140295
10,589.571,1.2193,1.40104,1.44859,0.68867,0.48409,0.5818,0.42899,1.13148,1.4179,1.40866,0.00136994,0.00136994,0.00136994
11,648.732,1.20226,1.37625,1.44305,0.7799,0.50244,0.63051,0.47441,1.09471,1.26595,1.39216,0.00133693,0.00133693,0.00133693
12,708.535,1.19819,1.36326,1.43774,0.74694,0.51934,0.62111,0.45354,1.13561,1.37478,1.41558,0.00130393,0.00130393,0.00130393
13,767.665,1.18812,1.35246,1.42857,0.76279,0.50553,0.63018,0.47436,1.0814,1.27647,1.38132,0.00127092,0.00127092,0.00127092
14,825.617,1.17869,1.33249,1.42476,0.72995,0.53457,0.65006,0.48782,1.0725,1.18978,1.35915,0.00123791,0.00123791,0.00123791
15,883.214,1.15922,1.3027,1.41102,0.7468,0.54705,0.6554,0.49486,1.03836,1.20683,1.33605,0.00120491,0.00120491,0.00120491
