epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,92.4232,1.49584,2.07628,1.67079,0.43292,0.31162,0.28397,0.18317,1.58443,2.54684,1.79819,0.000554873,0.000554873,0.000554873
2,186.182,1.46742,1.87165,1.64688,0.68548,0.42574,0.47981,0.3422,1.39555,1.81737,1.61785,0.00108855,0.00108855,0.00108855
3,279.425,1.41734,1.81043,1.60741,0.70747,0.43992,0.51854,0.37758,1.31875,1.6283,1.58013,0.00160022,0.00160022,0.00160022
4,370.676,1.36435,1.70294,1.56916,0.74695,0.4699,0.56696,0.42335,1.19478,1.42439,1.49531,0.00156798,0.00156798,0.00156798
5,463.111,1.33985,1.66303,1.55129,0.76324,0.49031,0.58681,0.43345,1.19303,1.44635,1.47947,0.00153497,0.00153497,0.00153497
6,556.959,1.2909,1.58248,1.52177,0.74221,0.4672,0.57512,0.43095,1.14275,1.54749,1.4657,0.00150197,0.00150197,0.00150197
7,649.333,1.2603,1.5177,1.50462,0.73895,0.48249,0.59243,0.44719,1.14324,1.38012,1.45992,0.00146896,0.00146896,0.00146896
8,742.84,1.24795,1.48983,1.48923,0.7455,0.52194,0.62324,0.46265,1.15442,1.31329,1.4367,0.00143595,0.00143595,0.00143595
9,836.57,1.21622,1.43068,1.45531,0.73801,0.46667,0.57606,0.43703,1.12627,1.42094,1.42624,0.00140295,0.00140295,0.00140295
10,928.628,1.18751,1.40316,1.4482,0.79174,0.52098,0.63978,0.47836,1.08447,1.25598,1.39027,0.00136994,0.00136994,0.00136994
11,1020.74,1.17917,1.37293,1.43715,0.83008,0.5048,0.63441,0.48317,1.0598,1.23901,1.38286,0.00133693,0.00133693,0.00133693
12,1112.95,1.16583,1.33921,1.42954,0.81004,0.54064,0.66243,0.50382,1.06102,1.1816,1.38935,0.00130393,0.00130393,0.00130393
13,1204.7,1.14173,1.30834,1.41128,0.82193,0.52194,0.66155,0.49315,1.05446,1.2235,1.38292,0.00127092,0.00127092,0.00127092
14,1295.15,1.13755,1.30873,1.41565,0.72502,0.54532,0.65833,0.50389,1.03051,1.16678,1.36531,0.00123791,0.00123791,0.00123791
15,1385.96,1.122,1.2809,1.39937,0.7901,0.55441,0.66904,0.50668,1.04144,1.15556,1.37824,0.00120491,0.00120491,0.00120491
16,1477.5,1.1376,1.28959,1.40342,0.80782,0.5259,0.65836,0.50057,1.02633,1.14572,1.35243,0.0011719,0.0011719,0.0011719
17,1567.67,1.10998,1.27503,1.3955,0.81292,0.53438,0.66113,0.50862,1.00906,1.12663,1.33494,0.00113889,0.00113889,0.00113889
18,1659.49,1.11032,1.25133,1.39233,0.81457,0.53655,0.67542,0.51674,1.00214,1.12619,1.33778,0.00110589,0.00110589,0.00110589
19,1752.64,1.09684,1.23134,1.3828,0.79542,0.57139,0.68583,0.52381,0.98617,1.09396,1.33599,0.00107288,0.00107288,0.00107288
20,1845.14,1.07811,1.20453,1.36889,0.83067,0.54608,0.68373,0.52643,0.98105,1.10096,1.32878,0.00103987,0.00103987,0.00103987
21,1937.32,1.07427,1.19401,1.36487,0.79873,0.58759,0.70349,0.53727,0.98376,1.07123,1.31026,0.00100687,0.00100687,0.00100687
22,2029.22,1.08108,1.19356,1.36933,0.77552,0.59112,0.69448,0.53397,0.96855,1.07385,1.31549,0.000973861,0.000973861,0.000973861
23,2120.14,1.06358,1.16248,1.35003,0.79052,0.58626,0.7091,0.54004,0.98107,1.03869,1.30731,0.000940855,0.000940855,0.000940855
24,2212.16,1.04692,1.14825,1.34736,0.78066,0.58165,0.69754,0.5304,0.9814,1.06383,1.31066,0.000907848,0.000907848,0.000907848
25,2302.99,1.04412,1.1385,1.34064,0.82597,0.57859,0.70792,0.54219,0.95398,1.0458,1.29911,0.000874842,0.000874842,0.000874842
26,2394.88,1.03533,1.11429,1.32719,0.79159,0.61055,0.72452,0.55584,0.95702,1.01589,1.30395,0.000841835,0.000841835,0.000841835
27,2486.98,1.04216,1.111,1.33515,0.79773,0.59293,0.70837,0.54363,0.97107,1.01117,1.29784,0.000808828,0.000808828,0.000808828
28,2578.15,1.02539,1.1142,1.32719,0.78451,0.61419,0.72825,0.55735,0.95122,0.97919,1.30759,0.000775822,0.000775822,0.000775822
29,2670.27,1.02956,1.09132,1.33131,0.7987,0.60272,0.72368,0.55526,0.94946,0.97956,1.30303,0.000742815,0.000742815,0.000742815
30,2761.3,1.00834,1.06686,1.31202,0.79764,0.62387,0.73943,0.56511,0.95015,0.96553,1.30568,0.000709809,0.000709809,0.000709809
31,2853.47,0.99943,1.03857,1.30336,0.78962,0.63115,0.73543,0.5628,0.93381,0.97364,1.2886,0.000676802,0.000676802,0.000676802
32,2944.84,0.97942,1.02343,1.29133,0.82326,0.63032,0.73993,0.56751,0.93696,0.94055,1.28228,0.000643795,0.000643795,0.000643795
33,3036.85,0.97872,1.00128,1.28796,0.81327,0.62966,0.74221,0.57349,0.93464,0.93175,1.27867,0.000610789,0.000610789,0.000610789
34,3128.87,0.98213,1.00121,1.28956,0.81248,0.63922,0.7507,0.57662,0.9186,0.91041,1.26519,0.000577782,0.000577782,0.000577782
35,3221.02,0.96416,0.97985,1.27074,0.78744,0.64325,0.75105,0.58136,0.9251,0.91142,1.27476,0.000544776,0.000544776,0.000544776
36,3312.82,0.9678,0.96774,1.2765,0.85213,0.61928,0.75462,0.5827,0.9284,0.88737,1.27622,0.000511769,0.000511769,0.000511769
37,3405,0.94912,0.95809,1.26489,0.801,0.64329,0.75923,0.58543,0.93015,0.89213,1.26698,0.000478762,0.000478762,0.000478762
38,3497.3,0.94489,0.93581,1.25677,0.81413,0.66003,0.7707,0.59177,0.92246,0.87523,1.27216,0.000445756,0.000445756,0.000445756
39,3589.4,0.94621,0.92965,1.26049,0.8148,0.65506,0.76778,0.59387,0.91436,0.84789,1.2621,0.000412749,0.000412749,0.000412749
40,3681.86,0.91921,0.90522,1.24892,0.80943,0.67635,0.77924,0.59895,0.91614,0.85167,1.27388,0.000379743,0.000379743,0.000379743
41,3783.9,0.92478,0.83845,1.25933,0.8094,0.67828,0.7813,0.60354,0.91531,0.83317,1.27449,0.000346736,0.000346736,0.000346736
42,3875.65,0.90936,0.81119,1.25064,0.84978,0.67178,0.78944,0.61065,0.90618,0.81671,1.26951,0.000313729,0.000313729,0.000313729
43,3967.43,0.89819,0.78074,1.24322,0.84714,0.67851,0.79381,0.61371,0.90949,0.80147,1.26677,0.000280723,0.000280723,0.000280723
44,4061.87,0.88978,0.76212,1.23708,0.80841,0.70065,0.79432,0.61471,0.90035,0.80538,1.2586,0.000247716,0.000247716,0.000247716
45,4156.53,0.86465,0.7437,1.21882,0.83532,0.70027,0.80163,0.61934,0.88941,0.78972,1.25647,0.00021471,0.00021471,0.00021471
46,4251.45,0.86306,0.71983,1.21581,0.8427,0.69825,0.80624,0.62423,0.8873,0.77293,1.25672,0.000181703,0.000181703,0.000181703
47,4344.92,0.844,0.69157,1.19978,0.8385,0.70774,0.8054,0.62796,0.87927,0.76377,1.24811,0.000148696,0.000148696,0.000148696
48,4436.77,0.83907,0.68456,1.19528,0.83975,0.71926,0.80999,0.63135,0.88534,0.75411,1.25609,0.00011569,0.00011569,0.00011569
49,4528.39,0.82808,0.66678,1.19275,0.82194,0.72042,0.81001,0.63337,0.87736,0.75137,1.2501,8.26832e-05,8.26832e-05,8.26832e-05
50,4621.11,0.81468,0.64368,1.17812,0.83709,0.7195,0.81224,0.63378,0.88121,0.75114,1.25176,4.96766e-05,4.96766e-05,4.96766e-05
