epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,179.908,1.56803,2.3775,1.61903,0.50709,0.38045,0.38099,0.25485,1.50608,2.0034,1.5754,0.000554079,0.000554079,0.000554079
2,215.309,1.47037,1.89653,1.54132,0.58415,0.43126,0.41103,0.28195,1.44137,1.9641,1.53073,0.00108777,0.00108777,0.00108777
3,249.366,1.44074,1.75245,1.52508,0.64171,0.44334,0.4922,0.33687,1.35867,1.78417,1.45406,0.00159946,0.00159946,0.00159946
4,283.479,1.39689,1.66131,1.48407,0.77909,0.43896,0.54012,0.39474,1.29077,1.71224,1.45395,0.00156798,0.00156798,0.00156798
5,316.217,1.35711,1.59813,1.46439,0.69339,0.44575,0.52672,0.38727,1.25796,1.53357,1.41971,0.00153497,0.00153497,0.00153497
6,349.429,1.32526,1.54126,1.44964,0.70854,0.45217,0.5461,0.40178,1.24345,1.50983,1.36546,0.00150197,0.00150197,0.00150197
7,383.177,1.29902,1.49683,1.42381,0.69229,0.50877,0.56615,0.4064,1.23338,1.53849,1.37461,0.00146896,0.00146896,0.00146896
8,416.174,1.28683,1.47266,1.42014,0.7738,0.4871,0.59957,0.44584,1.16121,1.29824,1.32966,0.00143595,0.00143595,0.00143595
9,449.93,1.26755,1.4289,1.40774,0.69706,0.48648,0.5748,0.41274,1.22427,1.42652,1.34082,0.00140295,0.00140295,0.00140295
10,482.088,1.24767,1.40228,1.39291,0.75178,0.51361,0.62878,0.46924,1.12002,1.25393,1.31827,0.00136994,0.00136994,0.00136994
11,514.61,1.22354,1.37779,1.37543,0.70471,0.51416,0.61238,0.45176,1.13607,1.26677,1.30391,0.00133693,0.00133693,0.00133693
12,547.06,1.21761,1.36045,1.37191,0.7197,0.54683,0.6422,0.47556,1.09525,1.26287,1.27827,0.00130393,0.00130393,0.00130393
13,579.455,1.20107,1.32689,1.35875,0.76138,0.52439,0.63811,0.47783,1.08018,1.20894,1.28664,0.00127092,0.00127092,0.00127092
14,611.604,1.19758,1.32667,1.35757,0.75486,0.53489,0.652,0.49014,1.06609,1.19935,1.28904,0.00123791,0.00123791,0.00123791
15,643.972,1.17231,1.29199,1.34443,0.77138,0.56151,0.68589,0.50829,1.06284,1.13199,1.26671,0.00120491,0.00120491,0.00120491
16,676.434,1.17477,1.27902,1.3436,0.76186,0.54245,0.65894,0.49277,1.0572,1.14926,1.26913,0.0011719,0.0011719,0.0011719
17,709.162,1.14209,1.25367,1.32831,0.73048,0.59223,0.68587,0.50683,1.08296,1.11671,1.29707,0.00113889,0.00113889,0.00113889
18,741.158,1.14339,1.23151,1.32078,0.76272,0.58243,0.69376,0.51717,1.03765,1.07624,1.25108,0.00110589,0.00110589,0.00110589
19,773.473,1.1434,1.22728,1.32516,0.72989,0.57732,0.67502,0.50827,1.05451,1.12964,1.28185,0.00107288,0.00107288,0.00107288
20,805.594,1.12557,1.19062,1.30917,0.78729,0.59057,0.70307,0.52034,1.06379,1.07198,1.26134,0.00103987,0.00103987,0.00103987
21,837.875,1.1196,1.18082,1.30302,0.78244,0.60676,0.71183,0.53157,1.03775,1.05523,1.2406,0.00100687,0.00100687,0.00100687
22,870.075,1.11746,1.18472,1.30142,0.79383,0.56615,0.69178,0.51772,1.02372,1.06903,1.2431,0.000973861,0.000973861,0.000973861
23,902.508,1.10376,1.16084,1.29223,0.77067,0.61574,0.7195,0.53952,1.0116,1.01998,1.21734,0.000940855,0.000940855,0.000940855
24,934.873,1.10431,1.16042,1.2962,0.82394,0.59506,0.72202,0.54162,1.00917,1.02118,1.23533,0.000907848,0.000907848,0.000907848
25,966.919,1.11178,1.15527,1.29311,0.80371,0.61423,0.72802,0.54625,0.99988,0.9921,1.21395,0.000874842,0.000874842,0.000874842
26,999.223,1.09141,1.12165,1.28302,0.77922,0.61068,0.72238,0.54262,1.00276,0.99787,1.22088,0.000841835,0.000841835,0.000841835
27,1031.35,1.08082,1.10507,1.27418,0.75792,0.6023,0.69076,0.51811,1.04118,1.07066,1.25743,0.000808828,0.000808828,0.000808828
28,1063.65,1.09124,1.11248,1.28183,0.80683,0.60553,0.72441,0.54336,0.99875,1.00714,1.23072,0.000775822,0.000775822,0.000775822
29,1095.95,1.08116,1.09592,1.27349,0.8047,0.62589,0.7371,0.55607,0.99146,0.97985,1.21527,0.000742815,0.000742815,0.000742815
30,1128.2,1.06693,1.08098,1.26995,0.81958,0.61178,0.73593,0.55371,0.99034,0.96633,1.21388,0.000709809,0.000709809,0.000709809
31,1160.63,1.05922,1.06255,1.26003,0.78538,0.63304,0.74164,0.56132,0.98461,0.9508,1.20989,0.000676802,0.000676802,0.000676802
32,1192.86,1.04226,1.04376,1.25443,0.81496,0.62291,0.74109,0.5558,0.98607,0.95331,1.19748,0.000643795,0.000643795,0.000643795
33,1225,1.0401,1.0276,1.24538,0.8276,0.62102,0.7459,0.56235,0.97701,0.93693,1.19305,0.000610789,0.000610789,0.000610789
34,1257.16,1.03247,1.02189,1.24042,0.81167,0.63999,0.75758,0.57154,0.97504,0.91065,1.1941,0.000577782,0.000577782,0.000577782
35,1289.6,1.04937,1.00354,1.24565,0.8057,0.62992,0.74897,0.56291,0.98768,0.93115,1.21527,0.000544776,0.000544776,0.000544776
36,1322.03,1.03139,0.99863,1.23365,0.80968,0.64427,0.75821,0.57322,0.97142,0.90968,1.1945,0.000511769,0.000511769,0.000511769
37,1354.3,1.02576,0.98817,1.22814,0.79986,0.65918,0.76492,0.57809,0.96388,0.88588,1.18659,0.000478762,0.000478762,0.000478762
38,1386.42,1.02089,0.98073,1.22307,0.82506,0.65621,0.76875,0.58019,0.96382,0.89766,1.19458,0.000445756,0.000445756,0.000445756
39,1418.84,1.01183,0.96463,1.21637,0.82103,0.65972,0.7667,0.5793,0.96555,0.88668,1.18265,0.000412749,0.000412749,0.000412749
40,1451.04,0.99682,0.95286,1.21477,0.80194,0.66847,0.77,0.58319,0.96516,0.88587,1.18993,0.000379743,0.000379743,0.000379743
41,1494.71,0.98851,0.87852,1.21373,0.83008,0.66202,0.77459,0.5845,0.96748,0.88238,1.18878,0.000346736,0.000346736,0.000346736
42,1525.86,0.96742,0.83932,1.20122,0.84443,0.65972,0.78319,0.59369,0.94738,0.85458,1.17081,0.000313729,0.000313729,0.000313729
43,1557.15,0.95948,0.81247,1.19256,0.83136,0.67558,0.78785,0.59453,0.95773,0.85176,1.18003,0.000280723,0.000280723,0.000280723
44,1587.93,0.9537,0.801,1.19274,0.82015,0.68026,0.79007,0.60049,0.94363,0.84038,1.1735,0.000247716,0.000247716,0.000247716
45,1618.86,0.94255,0.79343,1.18095,0.82437,0.69035,0.79695,0.60414,0.94638,0.82655,1.17612,0.00021471,0.00021471,0.00021471
46,1650.28,0.93674,0.7804,1.17373,0.84493,0.68603,0.79811,0.60488,0.94396,0.8183,1.17279,0.000181703,0.000181703,0.000181703
47,1681.44,0.92262,0.74978,1.1635,0.86529,0.66914,0.79962,0.61011,0.93578,0.80956,1.16727,0.000148696,0.000148696,0.000148696
48,1712.54,0.92349,0.74655,1.16434,0.85295,0.68387,0.80295,0.61222,0.93734,0.80655,1.16781,0.00011569,0.00011569,0.00011569
49,1743.73,0.91088,0.73668,1.15866,0.85595,0.68749,0.80561,0.61325,0.93786,0.79765,1.16757,8.26832e-05,8.26832e-05,8.26832e-05
50,1774.92,0.90627,0.72129,1.15615,0.84971,0.69294,0.80606,0.61274,0.93774,0.79916,1.17184,4.96766e-05,4.96766e-05,4.96766e-05
