epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,167.968,1.57069,2.28462,1.66839,0.68875,0.45301,0.51403,0.39737,1.14887,1.53179,1.39599,0.0033262,0.0033262,0.0033262
2,215.254,1.28995,1.54859,1.44042,0.66101,0.43705,0.4892,0.36292,1.2396,1.67001,1.39063,0.00662656,0.00662656,0.00662656
3,260.544,1.32377,1.57259,1.44757,0.67746,0.39174,0.46577,0.32306,1.41745,1.80312,1.48313,0.00989393,0.00989393,0.00989393
4,305.734,1.3949,1.65847,1.49134,0.72585,0.46036,0.54742,0.39823,1.2753,1.52461,1.42861,0.0098515,0.0098515,0.0098515
5,351.198,1.38225,1.62034,1.48426,0.73423,0.48416,0.57636,0.41916,1.24416,1.4412,1.39932,0.009802,0.009802,0.009802
6,396.93,1.33561,1.54075,1.45602,0.69099,0.48497,0.57598,0.42028,1.24381,1.39703,1.41705,0.0097525,0.0097525,0.0097525
7,442.387,1.30333,1.47382,1.43747,0.78475,0.52392,0.63773,0.46565,1.14988,1.2848,1.33549,0.009703,0.009703,0.009703
8,488.001,1.29657,1.47024,1.43764,0.74699,0.51269,0.6111,0.45208,1.17484,1.32113,1.38665,0.0096535,0.0096535,0.0096535
9,533.363,1.26729,1.40757,1.42105,0.75236,0.51247,0.63372,0.4707,1.14646,1.24875,1.33709,0.009604,0.009604,0.009604
10,578.766,1.24884,1.40078,1.40311,0.742,0.53048,0.63383,0.46168,1.14089,1.27398,1.34327,0.0095545,0.0095545,0.0095545
11,624.338,1.22517,1.34345,1.38694,0.74052,0.52897,0.63885,0.48156,1.10007,1.22494,1.32942,0.009505,0.009505,0.009505
12,669.911,1.19578,1.30698,1.36513,0.75133,0.54031,0.64302,0.48411,1.07749,1.23278,1.29496,0.0094555,0.0094555,0.0094555
13,715.495,1.19562,1.30599,1.36606,0.76275,0.55117,0.66683,0.50417,1.07407,1.18065,1.30041,0.009406,0.009406,0.009406
14,760.807,1.188,1.28581,1.37103,0.77137,0.55351,0.66341,0.50052,1.08106,1.17526,1.30937,0.0093565,0.0093565,0.0093565
15,806.136,1.16264,1.25426,1.35247,0.78379,0.56663,0.68339,0.51025,1.0715,1.15572,1.29878,0.009307,0.009307,0.009307
16,851.657,1.16065,1.23351,1.34447,0.79834,0.56894,0.68618,0.51887,1.05145,1.11874,1.30678,0.0092575,0.0092575,0.0092575
17,897.237,1.15647,1.22206,1.34398,0.77126,0.5595,0.668,0.50026,1.06689,1.15063,1.28142,0.009208,0.009208,0.009208
18,942.566,1.15145,1.20723,1.32804,0.73796,0.57164,0.6752,0.50292,1.07261,1.16185,1.29211,0.0091585,0.0091585,0.0091585
19,988.038,1.13931,1.20202,1.32385,0.75753,0.61179,0.71345,0.53261,1.05791,1.05669,1.26913,0.009109,0.009109,0.009109
20,1033.62,1.12533,1.17717,1.3131,0.78465,0.57052,0.68676,0.51676,1.0378,1.10726,1.27782,0.0090595,0.0090595,0.0090595
21,1078.82,1.10707,1.15189,1.30531,0.78146,0.60378,0.71046,0.5297,1.02745,1.06871,1.25321,0.00901,0.00901,0.00901
22,1124.31,1.12084,1.14899,1.32085,0.77853,0.60026,0.70792,0.53356,1.02547,1.08722,1.25375,0.0089605,0.0089605,0.0089605
23,1169.88,1.09567,1.12434,1.29645,0.81871,0.58502,0.71299,0.53424,1.03169,1.03552,1.26513,0.008911,0.008911,0.008911
24,1215.39,1.1061,1.13803,1.30377,0.79556,0.60703,0.73102,0.54792,1.02439,1.02371,1.2445,0.0088615,0.0088615,0.0088615
25,1260.83,1.09679,1.10726,1.2901,0.78741,0.62521,0.73391,0.55002,1.01721,1.02151,1.25678,0.008812,0.008812,0.008812
26,1306.64,1.09367,1.08522,1.28677,0.80872,0.60313,0.72784,0.54833,1.00669,1.01785,1.24401,0.0087625,0.0087625,0.0087625
27,1352.06,1.06351,1.05741,1.26791,0.84082,0.57443,0.72022,0.54493,1.02098,1.01171,1.25348,0.008713,0.008713,0.008713
28,1397.28,1.07379,1.08347,1.27487,0.77489,0.59282,0.70986,0.53234,1.03387,1.05656,1.25695,0.0086635,0.0086635,0.0086635
29,1442.66,1.06628,1.05662,1.26821,0.8159,0.59888,0.73782,0.55473,1.01652,0.99095,1.24449,0.008614,0.008614,0.008614
30,1488.2,1.06256,1.04675,1.26406,0.80102,0.63347,0.74692,0.56355,0.99162,0.98849,1.22813,0.0085645,0.0085645,0.0085645
31,1533.79,1.05798,1.02894,1.2634,0.80719,0.62987,0.74656,0.56753,0.97937,0.96917,1.21796,0.008515,0.008515,0.008515
32,1579.11,1.05367,1.03348,1.25743,0.76754,0.6516,0.74812,0.56919,0.97066,0.95366,1.21357,0.0084655,0.0084655,0.0084655
33,1625.08,1.03171,1.00563,1.24665,0.81676,0.63038,0.75941,0.57577,0.98236,0.93163,1.23036,0.008416,0.008416,0.008416
34,1670.6,1.03964,0.99575,1.25198,0.76989,0.6656,0.75778,0.57732,0.97371,0.93367,1.21637,0.0083665,0.0083665,0.0083665
35,1715.98,1.03794,0.99564,1.25028,0.77741,0.65728,0.75755,0.56949,0.98668,0.94616,1.23061,0.008317,0.008317,0.008317
36,1761.07,1.02684,0.98747,1.23972,0.80441,0.64628,0.76618,0.58194,0.97623,0.92886,1.22218,0.0082675,0.0082675,0.0082675
37,1806.64,1.02044,0.97847,1.23624,0.79674,0.65058,0.76821,0.58229,0.97693,0.91764,1.22653,0.008218,0.008218,0.008218
38,1852.34,1.01375,0.95309,1.22894,0.81911,0.6524,0.76496,0.57963,0.97859,0.89878,1.21791,0.0081685,0.0081685,0.0081685
39,1897.54,1.00972,0.95201,1.22829,0.82256,0.65077,0.76648,0.58595,0.95871,0.90242,1.21321,0.008119,0.008119,0.008119
40,1943.17,1.0008,0.93838,1.22267,0.81053,0.66446,0.77331,0.59144,0.96055,0.88456,1.2112,0.0080695,0.0080695,0.0080695
41,1988.55,0.99977,0.93215,1.21751,0.84989,0.6481,0.77366,0.58905,0.96566,0.87451,1.1977,0.00802,0.00802,0.00802
42,2033.69,1.0129,0.9314,1.2231,0.81324,0.66968,0.78388,0.60022,0.95396,0.85917,1.19728,0.0079705,0.0079705,0.0079705
43,2078.99,1.00011,0.9216,1.20999,0.8349,0.66076,0.77122,0.59361,0.94135,0.88653,1.19624,0.007921,0.007921,0.007921
44,2124.23,0.98741,0.91061,1.20344,0.81617,0.69399,0.79067,0.60175,0.95214,0.84567,1.1852,0.0078715,0.0078715,0.0078715
45,2169.74,0.97515,0.88058,1.19376,0.82396,0.68328,0.78863,0.60847,0.95032,0.85369,1.20284,0.007822,0.007822,0.007822
46,2215.04,0.98024,0.8958,1.20069,0.84971,0.67086,0.79043,0.60183,0.94708,0.83557,1.19091,0.0077725,0.0077725,0.0077725
47,2260.46,0.95975,0.86975,1.18504,0.83526,0.68666,0.79396,0.61178,0.93146,0.82719,1.18802,0.007723,0.007723,0.007723
48,2305.9,0.9741,0.88043,1.19463,0.83211,0.69671,0.79969,0.61302,0.95023,0.83238,1.19898,0.0076735,0.0076735,0.0076735
49,2351.44,0.95299,0.8461,1.18121,0.84158,0.69232,0.80443,0.61948,0.94018,0.80279,1.1882,0.007624,0.007624,0.007624
50,2396.85,0.96379,0.84643,1.1805,0.81901,0.69796,0.80268,0.61395,0.94499,0.82783,1.18787,0.0075745,0.0075745,0.0075745
51,2442.27,0.95281,0.83719,1.17617,0.83407,0.70327,0.80977,0.62398,0.94168,0.7952,1.18882,0.007525,0.007525,0.007525
52,2487.71,0.95594,0.84921,1.18015,0.85107,0.69577,0.80764,0.62051,0.93275,0.80996,1.18246,0.0074755,0.0074755,0.0074755
53,2533.06,0.94493,0.8332,1.17171,0.82972,0.70645,0.80789,0.62476,0.93381,0.79686,1.18127,0.007426,0.007426,0.007426
54,2578.44,0.94441,0.82433,1.1723,0.83362,0.70235,0.80707,0.62264,0.95005,0.78838,1.18916,0.0073765,0.0073765,0.0073765
55,2623.62,0.94296,0.82,1.16457,0.82315,0.7178,0.81536,0.62666,0.92922,0.7759,1.17041,0.007327,0.007327,0.007327
56,2669.31,0.92878,0.79487,1.1571,0.84273,0.7076,0.81105,0.62715,0.9399,0.77979,1.18241,0.0072775,0.0072775,0.0072775
57,2714.71,0.93521,0.79666,1.15872,0.83113,0.72072,0.80974,0.62767,0.93584,0.78969,1.18421,0.007228,0.007228,0.007228
58,2760.18,0.92474,0.7873,1.15983,0.84027,0.7157,0.81919,0.63671,0.93051,0.77021,1.18461,0.0071785,0.0071785,0.0071785
59,2805.81,0.93083,0.79186,1.15983,0.83898,0.71864,0.81491,0.63309,0.93693,0.77179,1.18671,0.007129,0.007129,0.007129
60,2850.99,0.91705,0.76886,1.14947,0.83868,0.73236,0.82647,0.63947,0.93233,0.75939,1.18223,0.0070795,0.0070795,0.0070795
61,2896.5,0.923,0.78209,1.15222,0.85638,0.71407,0.82467,0.63964,0.91942,0.75943,1.17322,0.00703,0.00703,0.00703
62,2941.63,0.90782,0.76061,1.14295,0.84232,0.71806,0.82041,0.64241,0.91635,0.749,1.17362,0.0069805,0.0069805,0.0069805
63,2987.22,0.89135,0.75192,1.1319,0.83113,0.73265,0.82016,0.63873,0.92445,0.75079,1.17729,0.006931,0.006931,0.006931
64,3032.33,0.89701,0.74644,1.13383,0.8351,0.73629,0.82626,0.64031,0.92923,0.72807,1.18204,0.0068815,0.0068815,0.0068815
65,3077.66,0.90207,0.74531,1.1389,0.86271,0.71627,0.82295,0.64398,0.92602,0.74101,1.17699,0.006832,0.006832,0.006832
66,3123.28,0.88855,0.73994,1.12909,0.83333,0.7397,0.82897,0.64873,0.91509,0.74112,1.17965,0.0067825,0.0067825,0.0067825
67,3168.94,0.88561,0.73632,1.12938,0.85553,0.72115,0.83501,0.65027,0.91291,0.72963,1.17186,0.006733,0.006733,0.006733
68,3214.04,0.8775,0.71631,1.11906,0.85092,0.74549,0.8313,0.65176,0.90474,0.73418,1.16728,0.0066835,0.0066835,0.0066835
69,3259.69,0.88022,0.72976,1.12844,0.85395,0.752,0.83203,0.65017,0.91629,0.72395,1.17518,0.006634,0.006634,0.006634
70,3304.93,0.87313,0.71685,1.12294,0.87378,0.72043,0.8274,0.65344,0.90649,0.73846,1.17512,0.0065845,0.0065845,0.0065845
71,3350.21,0.87252,0.70694,1.11862,0.84825,0.74358,0.83356,0.65537,0.90516,0.71946,1.17026,0.006535,0.006535,0.006535
72,3395.84,0.863,0.69515,1.10983,0.85076,0.7519,0.83748,0.65956,0.89464,0.71087,1.16442,0.0064855,0.0064855,0.0064855
73,3441.48,0.86471,0.69661,1.11237,0.85084,0.75663,0.84029,0.6596,0.9013,0.71159,1.17104,0.006436,0.006436,0.006436
