epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,44.2246,1.51124,2.07437,1.61091,0.64509,0.40897,0.47022,0.32928,1.38935,1.82958,1.54229,0.000554079,0.000554079,0.000554079
2,86.6762,1.44498,1.76302,1.55715,0.64345,0.43031,0.46254,0.33369,1.39165,1.87766,1.55881,0.00108777,0.00108777,0.00108777
3,128.754,1.41284,1.69339,1.53608,0.66586,0.4206,0.48921,0.34411,1.37332,1.70088,1.49726,0.00159946,0.00159946,0.00159946
4,170.679,1.36875,1.60495,1.4992,0.64174,0.43376,0.49791,0.3478,1.29393,1.70697,1.48358,0.00156798,0.00156798,0.00156798
5,212.782,1.31556,1.54884,1.47285,0.79158,0.45346,0.55017,0.41228,1.22079,1.47163,1.40034,0.00153497,0.00153497,0.00153497
6,254.683,1.28396,1.4871,1.44894,0.73744,0.46445,0.55485,0.41186,1.20027,1.39847,1.36668,0.00150197,0.00150197,0.00150197
7,296.693,1.25198,1.44437,1.42216,0.77974,0.48374,0.58486,0.43213,1.17407,1.43625,1.37783,0.00146896,0.00146896,0.00146896
8,338.573,1.24677,1.41286,1.41472,0.75793,0.50619,0.61765,0.46503,1.10885,1.25883,1.32454,0.00143595,0.00143595,0.00143595
9,380.514,1.22132,1.36497,1.40129,0.73519,0.53172,0.64343,0.47656,1.10589,1.25112,1.3235,0.00140295,0.00140295,0.00140295
10,422.47,1.18758,1.33386,1.38036,0.73805,0.51983,0.61958,0.46304,1.11922,1.29116,1.35406,0.00136994,0.00136994,0.00136994
11,464.148,1.17105,1.31731,1.37192,0.78264,0.50952,0.63681,0.48365,1.0829,1.22483,1.32732,0.00133693,0.00133693,0.00133693
